time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T13:02:57.452Z,36.691,76.9958,98.403,4.3,mb,46,97,4.303,0.86,us,us7000j1f2,2023-03-11T22:51:30.040Z,Kashmir-Xinjiang border region,earthquake,7.99,7.916,0.106,25,reviewed,us,us
2023-01-01T13:10:58.520Z,17.9275,-66.9091,14,3.58,md,26,225,0.0562,0.15,pr,pr2023001002,2023-03-11T22:51:30.040Z,Puerto Rico region,earthquake,0.73,0.6,0.13,19,reviewed,pr,pr
2023-01-01T13:18:25.830Z,52.247,-168.3156,29.11,3.5,ml,18,215,0.797,0.66,us,us7000j3xw,2023-03-11T22:51:46.040Z,"Fox Islands, Aleutian Islands, Alaska",earthquake,7.27,15.501,0.091,16,reviewed,us,us
2023-01-01T13:27:29.461Z,-21.2221,-68.9621,90.462,4.1,mb,28,55,0.522,0.76,us,us7000j1f6,2023-03-11T22:51:30.040Z,"136 km N of Calama, Chile",earthquake,6.75,7.627,0.166,10,reviewed,us,us
2023-01-01T14:41:18.768Z,-12.8831,166.3007,10,4.2,mb,14,87,7.111,1.13,us,us7000j3y1,2023-03-11T22:51:46.040Z,"174 km NW of Sola, Vanuatu",earthquake,9.37,1.918,0.263,6,reviewed,us,us
2023-01-01T14:41:33.783Z,49.7491,150.7474,385.112,4.1,mb,55,119,5.496,0.67,us,us7000j1fc,2023-03-11T22:51:30.040Z,,earthquake,12.84,8.002,0.059,79,reviewed,us,us
2023-01-01T14:43:21.938Z,51.0929,-176.2184,10,3,ml,10,291,0.779,0.32,us,us7000j5d8,2023-03-11T22:51:52.040Z,"91 km SSE of Adak, Alaska",earthquake,2.93,2.023,0.148,6,reviewed,us,us
2023-01-01T14:45:41.283Z,52.2879,-168.3001,19.223,3.4,ml,19,214,0.764,0.76,us,us7000j3y0,2023-03-11T22:51:46.040Z,"81 km SSE of Nikolski, Alaska",earthquake,7.12,7.064,0.091,16,reviewed,us,us
2023-01-01T15:10:07.415Z,51.117,-176.3119,10,3,ml,13,244,0.748,0.54,us,us7000j5d9,2023-03-11T22:51:52.040Z,"87 km SSE of Adak, Alaska",earthquake,3.87,1.974,0.148,6,reviewed,us,us
2023-01-01T15:36:55.139Z,52.2072,-168.2739,10,2.8,ml,13,261,0.844,0.44,us,us7000j5da,2023-03-11T22:51:52.040Z,"90 km SSE of Nikolski, Alaska",earthquake,5.34,2.013,0.105,12,reviewed,us,us
2023-01-01T16:28:26.753Z,31.71729206,-104.2797612,7.10847168,2.6,ml,26,62,0.044225288,0.2,tx,tx2023abgp,2023-03-11T22:51:30.040Z,western Texas,earthquake,0.685366909,0.780851371,0.2,35,reviewed,tx,tx
2023-01-01T16:40:44.544Z,51.3584,-176.4942,35,2.9,ml,13,237,0.506,0.51,us,us7000j5cb,2023-03-11T22:51:52.040Z,"58 km S of Adak, Alaska",earthquake,2.67,2.016,0.148,6,reviewed,us,us
2023-01-01T16:47:16.880Z,32.6028333,-117.9698333,5.95,2.65,ml,27,247,0.631,0.32,ci,ci40152719,2023-03-11T22:51:30.040Z,"43km SE of San Clemente Is. (SE tip), CA",earthquake,0.98,31.61,0.152,91,reviewed,ci,ci
2023-01-01T18:34:14.740Z,19.14016667,-156.197,38.49,3.77,ml,52,252,,0.11,hv,hv73290972,2023-03-11T22:51:30.040Z,"46 km W of Hawaiian Ocean View, Hawaii",earthquake,0.64,1.12,0.17996954,40,reviewed,hv,hv
2023-01-01T19:03:06.178Z,2.0751,128.135,153.78,4.3,mb,20,94,1.506,0.57,us,us7000j3y3,2023-03-11T22:51:46.040Z,"40 km NNE of Tobelo, Indonesia",earthquake,13.68,8.348,0.188,8,reviewed,us,us
2023-01-01T19:35:38.108Z,-3.4567,131.0209,10,4.5,mb,30,67,1.337,0.61,us,us7000j1gt,2023-03-11T22:51:30.040Z,"233 km E of Amahai, Indonesia",earthquake,4.25,1.823,0.115,22,reviewed,us,us
2023-01-01T20:10:32.239Z,18.7635,145.3291,305.991,4.4,mb,71,95,5.164,0.79,us,us7000j1gz,2023-03-11T22:51:30.040Z,"Pagan region, Northern Mariana Islands",earthquake,8.59,7.069,0.065,67,reviewed,us,us
